Artist_Album,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Price
Clifford Brown – Memorial Album,Jazz,Jul 1956,"Bop, Hard Bop","Rated 5.00 of 4 votes (28 have, 77 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,$300.00
Max Roach – We Insist! Max Roach's Freedom Now Suite,Jazz,Jan 1961,"Afro-Cuban Jazz, Hard Bop","Rated 4.72 of 53 votes (296 have, 864 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),96.4%,$299.99
Sonny Rollins – The Sound Of Sonny,Jazz,1957,Hard Bop,"Rated 4.63 of 8 votes (95 have, 110 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.0%,$260.34
John Coltrane – A Love Supreme,Jazz,1965,"Free Jazz, Hard Bop, Modal","Rated 4.68 of 204 votes (1395 have, 3677 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$299.00
"Art Blakey Quintet – A Night At Birdland, Volume 2",Jazz,Sep 1956,Hard Bop,"Rated 4.69 of 16 votes (122 have, 260 want)",Very Good (VG),Sleeve: Very Good (VG),97.4%,$299.99
The Miles Davis Quintet – Workin' With The Miles Davis Quintet,Jazz,Jan 1960,"Hard Bop, Bop","Rated 4.62 of 101 votes (812 have, 1032 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,$271.66
"Freddie Hubbard – The Night Of The Cookers - Live At Club La Marchal, Volume 2",Jazz,1966,"Hard Bop, Post Bop","Rated 4.18 of 11 votes (66 have, 128 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$300.00
Lou Donaldson – Blues Walk,Jazz,1958,"Bop, Hard Bop","Rated 4.82 of 33 votes (221 have, 482 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$288.46
Art Blakey & The Jazz Messengers – At The Jazz Corner Of The World Vol. 1,Jazz,1959,Hard Bop,"Rated 4.59 of 34 votes (273 have, 245 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$300.00
Charles Mingus – Mingus Ah Um,Jazz,14 Sep 1959,"Hard Bop, Bop","Rated 4.78 of 9 votes (69 have, 344 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),97.3%,$254.99
Miles Davis Sextet* – Someday My Prince Will Come,Jazz,1961,Hard Bop,"Rated 4.42 of 57 votes (653 have, 268 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,$260.00
Tubby Hayes And The Jazz Couriers Featuring Ronnie Scott – The Jazz Couriers,Jazz,1958,Hard Bop,"Rated 4.33 of 6 votes (25 have, 136 want)",Good Plus (G+),Sleeve: Very Good Plus (VG+),100.0%,$289.99
The Jazz Messengers* – At The Cafe Bohemia Volume 1,Jazz,Jan 1956,Hard Bop,"Rated 4.52 of 46 votes (303 have, 435 want)",Very Good (VG),Sleeve: Good Plus (G+),100.0%,$299.99
Miles Davis All Stars – Out Of The Blue,Jazz,1954,Hard Bop,"No Rating Yet (5 have, 24 want)",Very Good Plus (VG+),Sleeve: Generic,100.0%,$299.98
Jackie McLean – McLean's Scene,Jazz,1958,Hard Bop,"Rated 4.67 of 15 votes (103 have, 200 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.5%,$295.00
Cannonball Adderley – Somethin' Else,Jazz,May 1958,"Bop, Hard Bop","Rated 4.70 of 194 votes (1086 have, 1716 want)",Very Good (VG),Sleeve: Very Good (VG),99.5%,$300.00
Lee Morgan – The Sidewinder,Jazz,1964,Hard Bop,"Rated 4.70 of 10 votes (61 have, 292 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,$299.00
